Name,Description,Writer
Avalanche Ecosystem,"Avalanche is an open-source platform for the deployment of decentralized applications and multi-enterprise blockchains. Developed for fast, near-instant transactions, Avalanche is the first global smart contract platform designed for scale. As Solidity comes enabled out of the box, Ethereum developers can easily build on Avalanche. Avalanche's consensus protocol sets it apart from other decentralized platforms. Its decentralization remains intact even though it guarantees high levels of safety, speed, and finality with a novel consensus method. Among the most promising projects in its ecosystem is Wonderland, a long-term high yield stake farm and also a reserve currency of a metaverse.",Martin
Cosmos Ecosystem,"The Cosmos ecosystem is a group of blockchain platforms that can scale and interact with each other. Until Cosmos, blockchains were standalone and uncoordinated, and they could only process a small number of transactions a second. Cosmos provides a solution to these problems using a new technological paradigm. Modular, flexible, and interchangeable tools form the foundation of the ecosystem. As blockchain technology becomes a reality, developers are encouraged to contribute their efforts to improving these existing tools and creating new ones. Its ecosystem includes coins such as Juno, OSMO, SCRT, and ATOM.",Martin
Meme,"Meme coins are digital currencies inspired by internet jokes and, in particular, by the Doge meme. These coins typically start out completely ironically with no utility or inherent value as a way to remind the crypto community that pretty much anything can become a cryptocurrency. This idea, however, turns out to be valuable in and of itself, acting as a means of determining the difference between real value and speculative value. It moreover sheds light on how a market can move based on artificial influence and hype alone. Due to this, most of these coins experience large volatility spikes, and many people choose to invest in them. The most well-known meme coin is definitely Dogecoin. But there are many similar variants of the coin attempting to dethrone the meme king with similar concepts such as Shiba Inu or Dogelon Mars, which are in contrast ERC-20 tokens within the Ethereum ecosystem.",Martin
Metaverse,"The Metaverse category is comprised of cryptocurrencies that fuel different metaverses. A metaverse is a shared virtual world where crypto can be used to buy and sell virtual assets such as land, buildings, avatars, and names. It is essentially an open-world game that includes a virtual marketplace where users can buy and sell virtual assets as well as meet friends. The name itself comes from the dystopian cyberpunk novel ""Snow Crash"" by Neal Stephenson and the concept can also be easily compared to many modern movies such as ""Ready Player One"".",Martin
Near Ecosystem,"Thanks to Near Ecosystem, DeFi can now be accessed by everyone. Developers and end-users alike can enjoy one of the most user-friendly blockchain platforms in the world, while still receiving the scalability and security needed to serve their customers. Developers can host serverless apps and smart contracts on the NEAR Protocol, which is a decentralized development platform linked to open financial networks and fueled by an ecosystem of open web components. With NEAR, millions of people can finally create and discover new experiences thanks to simple, scalable, and secure technology. Near is responsible for the creation of prestigious projects such as Aurora or Ref Finance.",Martin
Play to Earn,"Play to Earn (P2E) is the term used to describe crypto and blockchain projects related to the blockchain gaming sector. The idea behind the concept is to give players more power. In regular gaming, making a profit off video game characters and virtual items is often impossible or breaks the terms of service. The P2E model is here to change that and allow players to freely trade and truly own their items. By utilizing the NFT technology, players have complete ownership of their equipment and are free to earn money through their hobby. Some of the games that successfully adapted this idea are Axie Infinity and Decentraland, both of which let players utilize NFTs to earn off their time spent playing.",Martin
Web 3.0,"Web 3.0 is the next evolution of the internet that utilizes the blockchain and tools of decentralization. In this next stage, websites and applications will be able to process the information on a human level. Users will possess complete ownership of their data and their activities unlike in Web 2.0. Although the new iteration of the world wide web isn't available yet, projects like Polkadot and Kusama are working hard towards realizing it.",Martin
Terra Ecosystem,"Terra provides a thriving DeFi ecosystem and a suite of algorithmic decentralized stablecoins built upon a public blockchain protocol. The platform is built on Cosmos SDK, a framework that allows developers to build decentralized applications and custom blockchains. All crypto assets created by the Terra Protocol continuously track any fiat currency via the efficient combination of open-market arbitrage incentives and decentralized Oracle voting. Consequently, Terra users have access to instant stablecoin trading, exchanging, spending, or storing on the Terra blockchain. StarTerra, which is the core project in the ecosystem, offers Play2Earn, gamified NFTs, and multi-asset staking.",Martin
Solana Ecosystem,"Solana's ecosystem consists of a number of technologies that work together to increase scalability and speed as well as a number of dApps that use its open infrastructure. A suite of developer resources and an open protocol make it easy for anyone to start building on the ecosystem. Solana currently boasts 50,000 transactions per second, making it the fastest blockchain in the world. Numerous developers and institutions choose to build on its ecosystem because of its high level of security, censorship resistance, and cost-efficiency. Some of the most promising projects on Solana include Kin, which is an SPL that is integrated on real apps such as Kik, Perfect365, MadLipz, and Tapatalk",Martin
A2DAO IDO,"Since 2017, A2DAO IDO has been an investment platform which aims to raise funds for crypto startups as a means to accelerate the development of promising projects. Aside from this, the platform is also utilized to harbor a lively decentralized community where people can contribute to the future of cryptocurrency.",Huy
AI,"AI (artificial intelligence) generally refers to computers performing complex tasks that typically require human intelligence. Cryptocurrencies falling under the AI category aims to use blockchain technology to achieve such tasks: analyzing data, self-learning ability, algorithms… For example, VeChain improves supply management and business procedures, while The Graph is a protocol for indexing and querying data from blockchains.",Huy
Algorithmic Stablecoins,"Algorithmic stablecoins are cryptocurrencies pegged to a fiat currency. But instead of being backed by a reserve asset, these coins use stabilization measures like algorithms, rules and softwares to respond to market conditions, thus maintaining stability and circulating supply balance. Some examples of algorithmic stablecoins are Ampleforth and agEUR.",Huy
AMM,"AMM stands for Automated Market Makers, which refers to the method of decentralized trading using algorithms to price assets in liquidity pools. AMM is popular in the DeFi space because of its automated nature, which centralized exchanges lack. The most popular AMMs include Uniswap and PancakeSwap.",Huy
AscendEX Launchpad,"With AscendEX Launchpad, new crypto projects can raise money by granting early access to token sales to investors. AscendEX Launchpad belongs to AscendEX, a global platform for trading digital assets. Cryptocurrencies participating in the launchpad, such as Serum and Persistence are listed under this category.",Huy
Backed Tokens,"Backed tokens basically refer to every token that has their value pegged to either another cryptocurrency or a real-world asset, be it fiat, gold, shares or other commodities. Examples include Marinade staked SOL, PAX Gold, Tether Gold…",Huy
Balancer LBP,"Balancer LBP is a Liquidity Bootstrapping Pool by the decentralized exchange Balancer, used to enable decentralized trading and provide a liquidity pool. Users can issue tokens through the pool and the liquidity will be generated from a smaller seed amount. Unlike Uniswap, the weighting of both assets can change over time. For instance, some projects from this category are Illuvium and Perpetual Protocol.",Huy
Big Data,"Big data is a term used to describe massive digital content that poses a challenge for traditional data management tools to handle. Different types of big data serve a variety of purposes, but they can all be powerful in discovering new potential markets. Projects under this category aim to integrate big data into blockchain projects, examples being Chainlink and 0x.",Huy
Binance Launchpad,"Binance Launchpad was arguably the first integration of Initial Exchange Offering (IEO). It is a launch platform for promising, transformative blockchain projects. It ensures the quality of chosen projects by enforcing that the developers submit plenty of supportive information in their applications. Binance Launchpad claims to only list trusted projects to protect both users and developers. The most successful projects associated with Binance Launchpad are Axie Infinity and Polygon.",Huy
Binance Launchpool,Binance Launchpool rewards participants with new tokens after they have staked crypto assets to provide funds for a liquidity pool. This process is referred to as Yield Farming. Cryptos from this category include Klaytn and Mobox.,Huy
Blockchain,"Blockchain, or distributed ledger technology, is a chain of blocks, each containing information. Then, the whole chain is distributed across a network of computers with the purpose of ensuring the blockchain is not managed by one centralized entity, thus safe from corruption. Many coins and projects have their own blockchain with different features, the most popular ones including Ethereum and BNB.",Huy
Blockchain Service,"Coins in this category are designed to support the development, security and growth of blockchains. In general, blockchains services are protocols or solutions which increase the ease of interacting with crypto technology. For example, Render is a node distribution protocol while CertiK is a smart contract auditing service.",Huy
BNB Chain Ecosystem,,(not on coinrotator)
Bounce IDO,"Bounce IDO is an Initial DEX Offering on the platform Bounce, which helps new projects to raise funds in a decentralized way. Some of the most notable projects under this categories are Dora Factory, O3 Swap and Antimatter.",Huy
BSCPad IDO,"BSCPad IDO is a decentralized IDO platform to empower new crypto projects to raise money and distribute tokens. BSCPad IDO operates on the Binance Smart Chain Network, so people have to hold BSCPas tokens to participate. BSCPad differs from other IDO platforms in that it has a Tier system based on the number of token staked to guarantee an allocation spot. The platform has given rise to projects like AIOZ Network and StackOS.",Huy
BTC,"The BTC category is reserved for cryptocurrencies that are considered variants of Bitcoin. These variants have their own purposes, such as building a bridge or transferring cryptocurrencies across multiple blockchains. For example, BTC Standard Hashrate Token and tBTC are both variants of Bitcoin.",Huy
Cardano Ecosystem,"Cardano is a decentralized proof-of-stake blockchain that aims to be more efficient than its proof-of-work counterparts. The platform allows the use of smart contracts, which in turn enables the development of dApps, new tokens, blockchain games… There is also a secure voting system and consensus mechanisms that are scalable and fast. The Cardano ecosystem is home to cryptos like Cardano, Ergo, OccamFi and Paribus.",Huy
Celo Ecosystem,Celo is a proof-of-stake blockchain created to support stablecoins and tokenized assets. Celo uses an algorithmic reserve-backed stability mechanism to achieve this.,Huy
CEX,"Cryptocurrency exchanges, or digital currency exchanges (DCEs) such as Binance Exchange and FTX, allow customers to exchange cryptocurrencies for other assets, such as conventional fiat money or other digital currencies. In exchange for digital currencies or cryptocurrencies, exchanges accept credit cards, wire transfers and other forms of payment. Cryptocurrency exchanges are usually market makers who take the bid-ask spreads as a commission for their services, or they may act as matching platforms that simply charge fees.",Đức
Chromia Ecosystem,"The Chromia Blockchain Platform allows people to easily build decentralized applications in the real world. Previously, Chromia was known as Chromapolis. Chromia aims to become a blockchain platform that provides more benefits than Ethereum. Chromia is the centerpiece of the upcoming open-world game My Neighbor Alice, which is 100% blockchain-based and incorporates NFTs to represent in-game items, land parcels, and player avatars.",Đức
